ac,2324
ad,1585
ae,488
aero,291
af,3
ag,1378
ai,203
al,15
am,2580
an,108
ao,12
aq,100
ar,7495
arpa,4942
as,1076
at,188517
au,39036
aw,3627
az,141
ba,200
bb,120
bd,1
be,174171
bf,441
bg,29029
bh,14
bi,16
biz,19117
bj,721
bm,4652
bn,6402
bo,185
br,47222
bs,273
bt,395
bv,0
bw,1804
by,2557
bz,1302
ca,984358
cc,8368
cd,133
cf,5
cg,45
ch,397293
ci,103
ck,4
cl,18208
cm,8
cn,1664
co,1185
com,12039858
coop,321
cr,371
cu,505
cv,2
cx,1113
cy,378
cz,137114
de,655232
dj,46
dk,147636
dm,676
do,361
dz,27
ec,611
edu,2538408
ee,43193
eg,149
er,0
es,239441
et,8
fi,457668
fj,48
fk,0
fm,520
fo,1383
fr,335535
ga,18
gb,1
gd,18
ge,1632
gf,0
gg,51
gh,50
gi,1299
gl,1186
gm,5
gn,2
gov,299636
gp,175
gq,3
gr,79167
gs,131
gt,445
gu,61
gw,37
gy,4
hk,19773
hm,71
hn,896
hr,18848
ht,0
hu,75496
id,1250
ie,51872
il,4157
im,60
in,801
info,8597
int,4268
io,11
iq,1
ir,108
is,66392
it,302855
je,83
jm,141
jo,119
jp,202155
ke,243
kg,4512
kh,63
ki,7
km,8
kn,7
kr,4573
kw,90
ky,112
kz,2702
la,752
lb,267
lc,39
li,670
lk,421
lr,1
ls,34
lt,36495
lu,24530
lv,18929
ly,51
ma,70
mc,681
md,4935
mg,770
mh,3
mil,43918
mk,299
ml,10
mm,2
mn,19
mo,17
mp,11
mq,60
mr,25
ms,142
mt,68
mu,3912
museum,7
mv,7
mw,12
mx,25878
my,4839
mz,667
na,1721
name,245
nc,1691
ne,35
net,33836380
nf,35
ng,35
ni,215
nl,654722
no,313687
np,48
nr,4
nu,12677
nz,10690
om,26
org,1038318
pa,231
pe,1776
pf,431
pg,61
ph,1637
pk,479
pl,215097
pm,0
pn,5
pr,64
pro,3
pt,165556
pw,1
py,548
qa,24
re,19
ro,79642
ru,296889
rw,20
sa,316
sb,10
sc,259
sd,0
se,424732
sg,2054
sh,275
si,12970
sj,0
sk,57076
sl,1
sm,415
sn,667
so,1
sr,14
st,864
su,1594
sv,298
sy,73
sz,483
tc,903
td,13
tf,26
tg,82
th,2173
tj,29
tk,131
tm,419
tn,175
to,2532
tp,6
tr,2614
tt,138
tv,7613
tw,13167
tz,155
ua,6320
ug,62
uk,61812
um,0
unknown,155493
us,14114
uy,567
uz,151
va,34
vc,4
ve,4533
vg,138
vi,332
vn,222
vu,105
wf,0
ws,5223
ye,112
yt,0
yu,9216
za,11071
zm,1782
zr,0
zw,884
